week,rank,name,assoc,points
2024-W32,1,WANG Chuqin,CHN,7925
2024-W32,2,FAN Zhendong,CHN,5523
2024-W32,3,Hugo CALDERANO,BRA,4070
2024-W32,4,LIANG Jingkun,CHN,4025
2024-W32,5,Felix LEBRUN,FRA,4020
2024-W32,6,MA Long,CHN,3985
2024-W32,7,LIN Yun-Ju,TPE,2835
2024-W32,8,LIN Gaoyuan,CHN,2820
2024-W32,9,Tomokazu HARIMOTO,JPN,2805
2024-W32,10,Truls MOREGARD,SWE,2370
2024-W33,1,WANG Chuqin,CHN,7925
2024-W33,2,FAN Zhendong,CHN,5523
2024-W33,3,Hugo CALDERANO,BRA,4070
2024-W33,4,LIANG Jingkun,CHN,4025
2024-W33,5,Felix LEBRUN,FRA,4020
2024-W33,6,MA Long,CHN,3985
2024-W33,7,LIN Yun-Ju,TPE,2835
2024-W33,8,LIN Gaoyuan,CHN,2820
2024-W33,9,Tomokazu HARIMOTO,JPN,2805
2024-W33,10,Truls MOREGARD,SWE,2370
2024-W34,1,WANG Chuqin,CHN,7925
2024-W34,2,FAN Zhendong,CHN,5523
2024-W34,3,Hugo CALDERANO,BRA,4070
2024-W34,4,LIANG Jingkun,CHN,4025
2024-W34,5,Felix LEBRUN,FRA,4020
2024-W34,6,MA Long,CHN,3985
2024-W34,7,LIN Yun-Ju,TPE,2835
2024-W34,8,LIN Gaoyuan,CHN,2820
2024-W34,9,Tomokazu HARIMOTO,JPN,2805
2024-W34,10,Truls MOREGARD,SWE,2370
2024-W35,1,WANG Chuqin,CHN,7925
2024-W35,2,FAN Zhendong,CHN,5523
2024-W35,3,Hugo CALDERANO,BRA,4070
2024-W35,4,LIANG Jingkun,CHN,4025
2024-W35,5,Felix LEBRUN,FRA,4020
2024-W35,6,MA Long,CHN,3985
2024-W35,7,LIN Yun-Ju,TPE,2835
2024-W35,8,LIN Gaoyuan,CHN,2820
2024-W35,9,Tomokazu HARIMOTO,JPN,2805
2024-W35,10,Patrick FRANZISKA,GER,2502
2024-W36,1,WANG Chuqin,CHN,7925
2024-W36,2,FAN Zhendong,CHN,5523
2024-W36,3,Hugo CALDERANO,BRA,4070
2024-W36,4,LIANG Jingkun,CHN,4025
2024-W36,5,Felix LEBRUN,FRA,4020
2024-W36,6,MA Long,CHN,3985
2024-W36,7,LIN Gaoyuan,CHN,2820
2024-W36,8,Tomokazu HARIMOTO,JPN,2805
2024-W36,9,LIN Yun-Ju,TPE,2610
2024-W36,10,Patrick FRANZISKA,GER,2502
2024-W37,1,WANG Chuqin,CHN,7925
2024-W37,2,FAN Zhendong,CHN,5523
2024-W37,3,Hugo CALDERANO,BRA,4070
2024-W37,4,LIANG Jingkun,CHN,4025
2024-W37,5,Felix LEBRUN,FRA,4020
2024-W37,6,MA Long,CHN,3985
2024-W37,7,LIN Gaoyuan,CHN,2820
