week,rank,name,assoc,points
2024-W32,1,SUN Yingsha,CHN,9000
2024-W32,2,CHEN Meng,CHN,6940
2024-W32,3,WANG Manyu,CHN,6315
2024-W32,4,WANG Yidi,CHN,5410
2024-W32,5,Hina HAYATA,JPN,3950
2024-W32,6,CHEN Xingtong,CHN,2490
2024-W32,7,SHIN Yubin,KOR,2310
2024-W32,8,Miwa HARIMOTO,JPN,2255
2024-W32,9,Mima ITO,JPN,1990
2024-W32,10,CHENG I-Ching,TPE,1765
2024-W33,1,SUN Yingsha,CHN,9000
2024-W33,2,CHEN Meng,CHN,6940
2024-W33,3,WANG Manyu,CHN,6315
2024-W33,4,WANG Yidi,CHN,5410
2024-W33,5,Hina HAYATA,JPN,3900
2024-W33,6,CHEN Xingtong,CHN,2490
2024-W33,7,SHIN Yubin,KOR,2310
2024-W33,8,Miwa HARIMOTO,JPN,2255
2024-W33,9,Mima ITO,JPN,1990
2024-W33,10,CHENG I-Ching,TPE,1765
2024-W34,1,SUN Yingsha,CHN,9000
2024-W34,2,CHEN Meng,CHN,6940
2024-W34,3,WANG Manyu,CHN,6315
2024-W34,4,WANG Yidi,CHN,5410
2024-W34,5,Hina HAYATA,JPN,3900
2024-W34,6,CHEN Xingtong,CHN,2490
2024-W34,7,SHIN Yubin,KOR,2310
2024-W34,8,Miwa HARIMOTO,JPN,2255
2024-W34,9,Mima ITO,JPN,1990
2024-W34,10,CHENG I-Ching,TPE,1765
2024-W35,1,SUN Yingsha,CHN,9000
2024-W35,2,CHEN Meng,CHN,6940
2024-W35,3,WANG Manyu,CHN,6315
2024-W35,4,WANG Yidi,CHN,5410
2024-W35,5,Hina HAYATA,JPN,3900
2024-W35,6,CHEN Xingtong,CHN,2490
2024-W35,7,SHIN Yubin,KOR,2310
2024-W35,8,Miwa HARIMOTO,JPN,2255
2024-W35,9,Mima ITO,JPN,1990
2024-W35,10,CHENG I-Ching,TPE,1765
2024-W36,1,SUN Yingsha,CHN,9000
2024-W36,2,CHEN Meng,CHN,6940
2024-W36,3,WANG Manyu,CHN,6315
